id,name,location,start,end,ongoing,method,changedMethod,success,progress
361,Anti-balaka,Central African Republic,2013,2013,True,0,False,0,0
351,Assam Independence Campaign,India,1985,2013,True,0,False,0,0
73,Basque Campaign for Self-Determination,Spain,1968,2013,True,1,True,0,0
39,Belarus Pro-Democracy Campaign,Belarus,2006,2013,True,1,False,0,0
352,Bodoland Independence Campaign,India,1987,2013,True,0,False,0,0
334,Boko Haram,Nigeria,2009,2013,True,0,False,0,0
390,Cabinda Conflict ,Angola,1991,2013,True,0,False,0,0
386,Casamance Conflict,Senegal,1982,2013,True,0,False,0,0
343,Caucasus Emirate,Russia,2007,2013,True,0,False,0,0
308,Civil Movement for Democracy,Thailand,2013,2013,True,1,False,0,0
290,Dance With Me Campaign,Bulgaria,2013,2013,True,1,False,0,3
314,Euromaiden,Ukraine,2013,2013,True,1,False,0,0
375,Fourth Balochistan Separatist Movement,Pakistan,2004,2013,True,0,False,0,0
333,Green Revolution and Day of Rage,Iran,2009,2013,False,1,False,0,5
105,Iraqi insurgency,Iraq,2003,2013,True,0,False,0,0
106,Islamic Salvation Front,Algeria,1989,2013,True,0,True,0,0
356,Islamic State,Syria,2013,2013,True,0,False,0,0
115,Kashmiri Muslim separatists,India,1990,2013,True,0,False,0,0
294,"Kivu Rebels (M23, APCLS, PARC-FAAL)",Democratic Republic of Congo,2011,2013,True,0,False,0,1
251,Kurdish rebellion (Turkey),Turkey,1978,2013,True,0,False,0,1
124,LRA,Uganda,1986,2013,True,0,False,0,0
309,Let's Save Togo (Anti-Gnassingbe),Togo,2012,2013,False,1,False,0,5
379,Manipur Insurgency,India,1979,2013,True,0,False,0,0
139,Moro National Liberation Front,Philippines,1970,2013,True,0,False,0,3
407,Myanmar Regime Change Campaign,Myanmar/Burma,1988,2013,True,0,False,0,3
408,Myanmar Territorial Secession Campaign,Myanmar/Burma,1948,2013,True,0,False,0,3
349,Naga Insurgency (Myanmar),Myanmar,1988,2013,True,0,False,0,0
144,Naga Rebellion,India,1951,2013,True,0,True,0,0
303,Nasheed Supporters,Maldives,2012,2013,False,1,False,0,5
347,Naxalite insurgency,India,1980,2013,True,0,False,0,0
150,New People's Army,Philippines,1972,2013,True,0,False,0,0
328,Northern Mali Conflict,Mali,2012,2013,True,0,False,0,0
385,PJAK,Iran,2005,2013,True,0,False,0,0
342,Pakistani Islamist Insurgency,Pakistan,2007,2013,True,0,False,0,0
164,Palestinian Liberation,Palestinian Territories,1964,2013,True,1,True,0,1
354,Patani insurgency,Thailand,2004,2013,True,0,False,0,3
295,Pro-Morsi Protests,Egypt,2013,2013,True,1,False,0,0
320,Protest for Constitutional Reform,Jordan,2011,2013,False,1,False,0,5
182,Revolutionary Armed Forces of Colombia and National Liberation Army,Colombia,1964,2013,True,0,False,0,3
319,Sinai Insurgency,Egypt,2013,2013,True,0,False,0,0
344,Somali Islamist Insurgency,Somalia,2006,2013,True,0,False,0,0
402,South Kordofan and Blue Nile ,Sudan,2011,2013,True,0,False,0,0
322,South Sudanese Civil War,South Sudan,2013,2013,True,0,False,0,0
256,Southern Yemen Secessionist Movement,Yemen,2007,2013,True,1,False,0,1
282,Syrian Civil Conflict,Syria,2011,2013,True,0,True,0,0
217,Taliban Resistance,Afghanistan,2001,2013,True,0,False,0,1
374,Tripuri nationalists,India,1989,2013,True,0,False,0,0
242,West Papuan self-determination campaign,Indonesia,1964,2013,True,1,True,0,0
340,Western Sahara Independence Movement,Western Sahara,1999,2013,True,1,False,0,5
258,al-Houthi Rebellion,Yemen,2004,2013,True,0,False,0,1
